question,reponse
FAUT-IL UN PASSEPORT POUR ALLER AU MAROC ,"Pour un séjour au Maroc (de moins de 3 mois), il faut seulement un passeport en cours de validité. Attention, pour certains pays un visa est obligatoire, renseignez-vous auprès du consulat du Maroc qui se trouve dans votre pays de résidence."
QUELS DOCUMENTS DOIS-JE POSSEDER POUR VOYAGER AVEC UN ANIMAL,Votre animal doit avoir un certificat de santé et antirabique récent.
FAUT-IL SE PROCURER DES DIRHAMS AVANT DE PARTIR ,"Non, vous pouvez en changer sur place dès votre arrivée à l’aéroport, dans les bureaux de changes, banques, ou par d’un guichet automatique. Attention, il est interdit d’importer ou d’exporter des dirhams. Pensez à ne changer que le nécessaire."
DOIS-JE DONNER UN POURBOIRE AU MAROC ,"Le pourboire au Maroc n’est pas une obligation, mais pour une prestation particulièrement bonne, laissez 10% du montant total de la facture dans les restaurants. Entre 10 et 50 DHs pour les employés des hôtels (porteurs, femme de chambre). Vos guides et vos chauffeurs s’attendent également à recevoir un pourboire. Vous pouvez laisser un certain montant à votre discrétion. Ne donnez jamais d’argent aux enfants, prévoyez des crayons ou stylos."
QUELLE EST LA TEMPERATURE AU MAROC ,"Le Maroc est un pays où il fait beau toute l’année. En hiver on cherche la chaleur et le ciel bleu dans le sud marocain et le désert. L’été, on apprecie la fraécheur en altitude dans l’Atlas, ou auprés des vents de la côte atlantique. Pour en savoir plus consultez les températures annuelles de toutes les régions du Maroc."
COMMENT RESERVER UN CIRCUIT AU MAROC ,"Rendez-vous sur le site web https://www.marocvoyages.com dans la rubrique Circuit découverte Maroc, consultez, réservez ! Vous pouvez également contacter nos conseillers voyage par email contact[a]marocvoyages.com ou par téléphone au +212 5 24 84 87 85 ou sur le mobile : +212 6 68 27 65 19 du lundi au vendredi de 09h00 à 20h00, le samedi de 09h00 à 13h00 et le dimanche de 15h00 à 20h00 heure locale GMT."
COMBIEN DE PASSAGERS FAUT-IL COMPTER POUR UN VEHICULE 4X4 ,"Le nombre de passagers maximum dans un véhicule 4×4 est de six à sept passagers, mais pour un meilleur confort nous limitons le nombre à 4 ou 5 passagers par véhicule."
FAUT-IL EMPORTER UN DUVET POUR DORMIR AU BIVOUAC ,"Nous fournissons les tentes, les draps et les couvertures, si vous souhaitez plus de confort vous pouvez amener un duvet."
QUEL EST LE PRIX D'ENTREE DES KASBAHS ET MONUMENTS ,"Le prix reste symbolique, de l’ordre de 10 Dhs par personne. N’hésitez pas à accepter les services du guide local. Pourboire à votre discrétion : compter environ 50 Dhs pour un groupe."
PUIS-JE ORGANISER MON PROPRE ITINERAIRE ,"Vous voulez suivre un itinéraire particulier organiser un voyage sur mesure, contactez-nous ou bien consultez la rubrique sur notre site web Voyage sur mesure maroc et nous étudierons votre projet avec vous. Nous vous apporterons la meilleure solution avec sa logistique : transport, hébergement, repas, etc."
COMBIEN DE JOURS FAUT-IL POUR VISITER MARRAKECH ,"De 3 jours à une semaine, si vous souhaitez voir les musées, les lieux de vie (souks, mellah, place…), les lieux historiques (Ben Youssef, Bahia, El Badi, Koutoubia, Tombeaux Saadiens), les jardins (Majorelle, Ménara, voire Palmeraie) et faire un tour dans le Guéliz."
COMBIEN COUTE LA VISITE DES STUDIOS DE CINEMA PRÃˆS DE OUARZAZATE ? IL FAUT COMBIEN DE TEMPS POUR VISITER ,Les studios de cinéma sont situés à moins de 10 km de Ouarzazate. Pour une visite guidée de plus d’une 1/2heure comptez 50 Dhs environs.
QUELLES SONT LES VILLES IMPERIALES DU MAROC ,"Les quatre villes impériales du Maroc sont : Marrakech, Fés, Rabat et Meknés. Elles présentent toujours le même schéma : une structure urbaine dense, resserrée entre des remparts flanquée de tours de guet et de défense. Cliquez ici pour en savoir plus sur les villes impériales du Maroc."
QUELS HEBERGEMENTS DURANT MON CIRCUIT 4X4 ,"Nous sélectionnons les hébergements les plus typiques dans les sites exceptionnels des étapes. Hôtels, riads, bivouac sous tente nomade au milieu des dunes et Kasbahs. Ces derniéres sont construites en pisé, un mélange de terre et de paille, un procédé ancien qui isole à la fois du froid et de la chaleur. Tous ceux qui ont voyagé avec nous gardent un excellent souvenir des lieux et de l’accueil qui leur a été fait"
QUELLES SONT LES PRINCIPALES ATTRACTIONS DE MARRAKECH ,"Les principales visites immanquables de Marrakech sont: La Koutoubia, le musée, Dar Si Saïd, la Médersa Ben Youssef, la Ménara, la palmeraie, les jardins de Majorelle, les souks, les tombeaux Saadiens, Médina de Marrakech, la vue sur les toits depuis les terrasses, la place Jemaa El Fna, le Guéliz, le Palais de la Bahia, le Palais El Badi, la Mamounia, le Mellah, le souk des tanneurs, les portes et la muraille de la ville, les jardins d’Agdal à voir aussi les attractions touristiques au Maroc."
POUVEZ-VOUS NOUS PROPOSER UN HEBERGEMENT AU MAROC,"Nous pouvons organiser tout votre séjour et vous accueillir dés votre arrivée à l’aéroport. Dites-nous ce que vous désirez (riad, hôtel, auberge, géte, bivouac…) nous vous conseillerons en fonction des saisons et de votre budget."
COMMENT ET QUAND NOUS CONTACTER ,"Par téléphone ou par email, du lundi au vendredi de 9h à 13h et de 15h à 20h, samedi de 9h à 13h et dimanche de 15h à 20h (heure locale GMT)."
POUVONS-NOUS RESERVER ALORS QUE NOUS SOMMES DEJA AU MAROC ,Oui. Nous vous invitons à nous contacter soit par mail soit par téléphone afin que nous arrangions au mieux votre séjour.
COMMENT RESERVER UN VOYAGE ,"En effectuant une demande de réservation (suite a un réglement de 30% par carte bancaire), en effectuant une demande de pré-réservation (un conseiller vous contactera par email dans les 24h ouvrables suivant votre demande pour compléter la réservation avec vous) ou par téléphone."
COMMENT SUIS-JE AU COURANT QUE MON VOYAGE EST CONFIRME,Vous recevez un mail vous informant de la confirmation définitive de votre réservation.
QU'EST CE QU'UNE PRE-RESERVATION ,– Une pré-réervation correspond à une demande de devis sur un voyage sélectionné. – Aucune perte de temps : dés réception de votre pré-réservation un conseiller voyage prendra en charge votre demande et vous adressera un bon de commande. Vous serez dés lors en mesure de pouvoir effectuer une demande de réservation.
COMMENT REGLER MON SEJOUR ,Deux possibilités : – Paiement par carte bancaire (le plus convivial et sécurisé). – Par virement (nos coordonnées bancaires vous seront envoyées par email suite à votre demande de pré-réservation).
POURQUOI PRIVILEGIER LE REGLEMENT PAR CARTE BANCAIRE ,Pour 3 raisons : – Rapidité d’intervention pour la réservation de votre voyage. – éviter un éventuel problème de courrier. – C’est un paiement en liaison sécurisée.
JUSQU'A COMBIEN DE TEMPS AVANT LE DEPART PUIS-JE RESERVER UN SEJOUR ,Vous pouvez réserver votre séjour jusqu’à une semaine avant le départ et dans la limite des disponibilités.
QUE SE PASSE-T-IL QUAND MON VOYAGE EST CONFIRME ,Votre dossier sera transmis à notre service facturation. Vous recevrez dans un délai de 48h à 72h ouvrables une facture libellée à vos nom et adresse.
POUVONS-NOUS PROLONGER NOTRE SEJOUR SUR PLACE ,"Oui. Si vous souhaitez prolonger votre séjour, nous vous invitons à nous en faire part au moment de la réservation afin que nous organisions au mieux votre séjour."
QUELLE EST LA DUREE IDEALE POUR FAIRE UNE RANDONNEE ,Une randonnée dure en général une à deux semaines. C’est le temps idéal pour en tirer le meilleur profit et bien s’acclimater. MAROC VOYAGES peut bien sûr vous proposer des durées variables en fonction de vos souhaits spécifiques.
QUELLE EST LA MEILLEURE PERIODE POUR FAIRE UNE RANDONNEE AU MAROC,"Le Maroc est un très grand pays avec de nombreux climats, où il est possible de randonner toute l’année : désert en hiver et montagne en été. Ainsi les meilleures périodes pour le désert et les massifs prés-saharien sont d’octobre à mars, les périodes les plus chaudes sont de mai à novembre mais correspondent aussi aux saisons pour la montagne."
POUVEZ-VOUS NOUS DONNER QUELQUES EXPRESSIONS USUELLES DU MAROC ,"Assalamalikoum (que la paix soit sur vous) : bonjour (répondre) Alikoumssalam : bonjour Labass ? : Comment ça va ? (Répondre) Hamdou lah : louange à Dieu, merci à Dieu Bikhir (kh se prononce rrr raclé en fond de gorge) : ça va bien Choukran : Merci Choukran bizzaf : merci beaucoup N’aâm : Oui L’la : Non Bismillah : au nom de Dieu (lorsque l’on veut bénir quelque chose, un repasé) Bsslama : au revoir Layla saaïda : bonne nuit Wakha : d’accord Smeh liya : pardon! Mafhemtch : je ne comprends pas Fhemt : j’ai compris Ma’ereftch : je ne sais pas Mbrouk : félicitations !"
QUELS COMPORTEMENTS ADOPTER AFIN DE NE PAS GÊNER LES MAROCAINS ,"Le Maroc est un pays musulman, il faut donc prêter une attention particulière à la tenue. Portez par exemple des vêtements amples couvrant les épaules et en dessous des genoux, particulièrement dans le sud du Maroc et dans les petits villages ainsi que chez les nomades. Pendant le mois du Ramadan, il faut éviter de boire, manger et fumer en public pendant la journée. Ne donnez pas d’argent aux enfants, sinon ils risquent de ne plus aller à l’école pour pouvoir mendier auprès des touristes. Préférez donner des stylos, des cahiers, des vêtements et des bonbons directement aux écoles ou aux associations qui leur transmettront directement. Ne pas entrer dans une Mosquée, seule la Mosquée Hassan II de Casablanca est accessible aux non musulmans."
QUELLE EST LA DEVISE MAROCAINE ,"L’unité monétaire marocaine est le dirham (DH) divisé en 100 centimes. Il existe des billets de 20, 50, 100 et 200 DH, des pièces 1, 5 et 10 DH et de 5, 10, 20 et 50 centimes. Il est fortement conseillé de prévoir des chèques de voyage et votre carte de crédit, presque acceptés partout. Ce sont les moyens de paiement les plus sûrs."
QUELLES SONT LES COMPAGNIES AERIENNES LES MOINS CHERS RELIANT LE MAROC ,"Elles sont nombreuses, en voici quelques unes : Royal Air Maroc, Atlas Blue, Transavia, EasyJet, Iberia"
QUE PEUT-ON RAMENER D’UN VOYAGE AU MAROC ,"Le souvenir le plus représentatif du Maroc reste le fameux tapis. Si vous optez pour un plat à tajine traditionnel, pensez à acheter un livre de recettes. Les produits de beauté fabriqués à partir de produits naturels comme l’huile d’argan, crème et des parfums…seront toujours appréciés. Les vêtements traditionnels comme par exemple djellaba, babouches et foulards. Très légers, ces vêtements ont l’avantage de laisser respirer la peau. Attention : les prix sont rarement affichés, excepté dans les magasins officiels des grandes villes. Se renseigner avant d’acheter et toujours négocier le prix."
QUEL TYPE DE MATÉRIEL FAUT-IL APPORTER POUR UN VOYAGE DANS LE DÉSERT MAROCAIN ,"Sachez qu’il vous faudra dans la plupart des circuits : un sac de couchage, une paire de chaussures de randonnée devant avant tout être confortable, un sac à dos ou de voyage, et un petit sac de randonnée pour les affaires de la journée. Et bien sur les vêtements : tee-shirts ou chemises en coton, chapeau de toile, sous vêtements et chaussettes… Il est aussi recommandé d’emmener votre propre pharmacie."
PEUT-ON AVOIR UN GUIDE ,"Pour randonner dans le désert et dans les montagnes, un guide diplômé est indispensable. Il est votre interlocuteur, vous oriente et reste à l’écoute pour toutes vos questions. Il connait les différentes tribus, les nomades, et peut vous servir d’intermédiaire pour mieux découvrir le pays et ses habitants. Nous vous conseillons de prendre un guide spécialisé pour visiter les médinas des grandes villes. A Marrakech et Fès, il enrichira votre visite de son savoir et de sa connaissance de l’histoire des moindres ruelles."
PEUT-ON FAIRE UNE RANDONNÉE À DOS DE DROMADAIRE,"Presque tout le monde peut le faire. Pour les débutants, chaque dromadaire est attaché au précédent. A l’avant de la selle, il y a ce qu’il faut pour vous accrocher. Il n’y a aucune obligation de monter en permanence, on alterne en fait la monte et la marche."
PEUT-ON TROUVER DES CONDITIONS CONFORTABLES DANS LE DESERT ,"Nos bivouacs répondent aux besoins de confort de nos clients. Des tentes bien installées amènent tout le confort nécessaire pour passer de belles nuits en plein désert sous la voûte étoilée. Les campements disposent de tentes avec lit, de sanitaires, encadrement, restauration et services de qualité."
Salam Bonjour Hi Salut ,"Salut cv, j'espère que vous allez bien !"
Qui etes vous ,"Je suis un robot développé par l'agence touristique XXX pour vous guider ."
